country,ISO alpha-3 code,UN_region,UN_subregion,year,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,Percapita GDP (2010 USD),population
Barbados,BRB,Latin America and the Caribbean,Caribbean,2014,EFExportsPerCap,0.063636493,0.000223129,0.012361208,0.005336336,0,0.396926379,0.478483545,15864.6,283000
Barbados,BRB,Latin America and the Caribbean,Caribbean,2014,EFExportsTotGHA,18033.3098,63.23017141,3502.919157,1512.210824,0,112480.9994,135592.6693,15864.6,283000
Barbados,BRB,Latin America and the Caribbean,Caribbean,2014,EFImportsPerCap,0.553002242,0.285553216,0.141127228,0.15692088,0,1.109509015,2.246112581,15864.6,283000
Barbados,BRB,Latin America and the Caribbean,Caribbean,2014,EFImportsTotGHA,156709.7781,80920.07182,39992.63462,44468.2396,0,314412.67,636503.3941,15864.6,283000
Barbados,BRB,Latin America and the Caribbean,Caribbean,2014,EFProdPerCap,0.063847319,0.00322606,0.021593551,0.118597686,0.034084518,1.543916683,1.785265817,15864.6,283000
Barbados,BRB,Latin America and the Caribbean,Caribbean,2014,EFProdTotGHA,18093.0537,914.2010394,6119.180464,33608.21286,9658.870927,437515.1171,505908.6361,15864.6,283000
Bangladesh,BGD,Asia,Southern Asia,2014,BiocapPerCap,0.271160639,0.003272654,0.004030504,0.052433937,0.078248622,0,0.409146356,922.161,159078000
Bangladesh,BGD,Asia,Southern Asia,2014,BiocapTotGHA,43135692.17,520607.2155,641164.4721,8341085.801,12447634.3,0,65086183.96,922.161,159078000
Bangladesh,BGD,Asia,Southern Asia,2014,EFConsPerCap,0.33606993,0.004559096,0.081035154,0.021618156,0.078248622,0.273097316,0.794628274,922.161,159078000
Bangladesh,BGD,Asia,Southern Asia,2014,EFConsTotGHA,53461332.26,725251.951,12890910.28,3438973.051,12447634.3,43443774.8,126407876.6,922.161,159078000
Bangladesh,BGD,Asia,Southern Asia,2014,EFExportsPerCap,0.00377858,6.90E-07,6.10E-05,0.000991658,0,0.01886211,0.023694,922.161,159078000
Bangladesh,BGD,Asia,Southern Asia,2014,EFExportsTotGHA,601089.014,109.8101746,9697.54465,157750.9835,0,3000546.764,3769194.116,922.161,159078000
Bangladesh,BGD,Asia,Southern Asia,2014,EFImportsPerCap,0.068687871,0.001287133,0.015446938,0.004308086,0,0.139746747,0.229476774,922.161,159078000
Bangladesh,BGD,Asia,Southern Asia,2014,EFImportsTotGHA,10926729.1,204754.5457,2457268.005,685321.6455,0,22230633.03,36504706.33,922.161,159078000
Bangladesh,BGD,Asia,Southern Asia,2014,EFProdPerCap,0.271160639,0.003272654,0.065649177,0.018301729,0.078248622,0.152212679,0.5888455,922.161,159078000
